page_id,shortname,name,default_value,sort,created_at,updated_at
23,personal_1,,"CDEK UK",10,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_2,,Италия,20,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_3,,Римини,30,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_4,,RU,40,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_5,,Калькулятор,50,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_6,,"Отследить заказ",60,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_7,,"+44 147 371 16 68",70,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_8,,"Связаться с нами",80,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_9,,RU,90,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_10,,Калькулятор,100,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_11,,"Отследить заказ",110,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_12,,"Италия, Римини,",120,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_13,,"Ул. Кориано, 58, Блок 78Z",130,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_14,,"+39 39 364 77 496",140,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_15,,rimini@cdek.ru,150,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_16,,"Связаться с нами",160,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_17,,"СДЭК ― это международная логистическая компания",170,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_18,,"Мы доставляем посылки и грузы по России и миру",180,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_19,,"Таможенное оформление",190,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_20,,2000,200,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_21,,"год основания компании",210,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_22,,"Доставка в пункты выдачи, постаматы, курьером",220,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_23,,3500+,230,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_24,,"пунктов выдачи заказов",240,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_25,,25+,250,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_26,,"стран присутствия",260,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_27,,"Наш офис в Римини поможет отправить в Россию",270,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_28,,01,280,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_29,,"Товары из интернет-магазинов покупателям",290,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_30,,02,300,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_31,,"Отправить ваши посылки близким",310,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_32,,03,320,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_33,,"Покупки из местных интернет-магазинов до России с помощью услуги CDEK FORWARD.",330,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_34,,04,340,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_35,,"Документы и письма по всему миру",350,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_36,,"Дополнительные услуги",360,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_37,,"Получение международного заказа",370,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_38,,"Передать паспортные данные и ИНН для прохождения посылкой таможенного контроля",380,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_39,,"Заключить договор",390,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_40,,"Заключите договор и оплачивайте услуги безналичными",400,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_41,,"Оплатить услуги онлайн",410,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_42,,"Оплачивайте услуги банковскими картами, электронными деньгами или с баланса мобильного",420,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_43,,"Узнайте подробнее о возможностях СДЭК для интернет-магазинов",430,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_44,,"Скачать презентацию",440,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_45,,"Офисы СДЭК в Италии",450,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_46,,Римини,460,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_47,,Болонья,470,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_48,,Верона,480,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_49,,"Кориано 58",490,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_50,,"Грегора 17",500,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_51,,Контакты,510,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_52,,"Италия, Римини, Ул. Кориано, 58, Блок 78Z",520,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_53,,"От железнодорожного вокзала автобус номер 8 остановка «Gros-Bl 87»",530,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_54,,"9:00 - 18:00 по будням",540,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_55,,"10:00 - 18:00 по выходным",550,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_56,,"+39 39 364 77 496",560,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_57,,rimini@cdek.ru,570,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_58,,"Наши сотрудники",580,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_59,,"В нашей команде ― специалисты, которые всегда готовы помочь с любыми вопросами",590,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_60,,"по оформлению и международной доставке",600,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_61,,"Кира Овчинникова",610,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_62,,"Менеджер по работе с клиентами",620,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_63,,"Малухина Анастасия",630,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_64,,"Менеджер по организации перевозок",640,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_65,,"Луткин Михаил",650,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_66,,"Зам. руководителя отдела продаж",660,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_67,,"Расчет доставки из Великобритании в Россию*",670,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_68,,"При оформлении отправки, сотрудники CDEK проверят фактический и объемный вес отправлений. Оплата будет производиться за большую
из двух величин.Объемный вес рассчитывается по формуле: Длина (см) × Ширина (см) × Высота (см) / 5000 = Объемный вес (кг).",680,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_69,,"Изменить расчет",690,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_70,,"Деланко, Нью-Джерси",700,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_71,,—,710,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_72,,Москва,720,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_73,,"Посылка 1кг, 0.01 м3",730,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_74,,"Выберите тариф",740,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_75,,"Международный экспресс документы",750,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_76,,"Доставка документов для бизнеса и частных лиц",760,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_77,,Дверь-дверь,770,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_78,,"7 360 ₽",780,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_79,,"Международный экспресс грузы",790,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_80,,"Доставка образцов и другой продукции для бизнеса",800,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_81,,Дверь-дверь,810,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_82,,"8 100 ₽",820,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_83,,CDEK-Express,830,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_84,,"Доставка только от интернет-магазинов клиентам",840,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_85,,Cклад-склад,850,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_86,,"983.72 ₽",860,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_87,,CDEK-Express,870,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_88,,"Доставка только от интернет-магазинов клиентам",880,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_89,,Cклад-дверь,890,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_90,,"1 102.72 ₽",900,"2021-07-08 20:00:00","2021-07-08 20:00:00"
23,personal_91,,"Изменить расчет",910,"2021-07-08 20:00:00","2021-07-08 20:00:00"
